"continent","country","gdpPercap_1952","gdpPercap_1957","gdpPercap_1962","gdpPercap_1967","gdpPercap_1972","gdpPercap_1977","gdpPercap_1982","gdpPercap_1987","gdpPercap_1992","gdpPercap_1997","gdpPercap_2002","gdpPercap_2007","lifeExp_1952","lifeExp_1957","lifeExp_1962","lifeExp_1967","lifeExp_1972","lifeExp_1977","lifeExp_1982","lifeExp_1987","lifeExp_1992","lifeExp_1997","lifeExp_2002","lifeExp_2007","pop_1952","pop_1957","pop_1962","pop_1967","pop_1972","pop_1977","pop_1982","pop_1987","pop_1992","pop_1997","pop_2002","pop_2007"
"Asia","India",546.566,590.062,658.347,700.771,724.033,813.337,855.724,976.513,1164.41,1458.82,1746.77,2452.21,37.373,40.249,43.605,47.193,50.651,54.208,56.596,58.553,60.223,61.765,62.879,64.698,3.72e+08,4.09e+08,4.54e+08,5.06e+08,5.67e+08,6.34e+08,7.08e+08,7.88e+08,8.72e+08,9.59e+08,1034170000,1110400000
"Asia","Indonesia",749.682,858.9,849.29,762.432,1111.11,1382.7,1516.87,1748.36,2383.14,3119.34,2873.91,3540.65,37.468,39.918,42.518,45.964,49.203,52.702,56.159,60.137,62.681,66.041,68.588,70.65,82052000,90124000,99028000,109343000,121282000,136725000,153343000,169276000,184816000,199278000,211060000,223547000
"Asia","Iran",3035.33,3290.26,4187.33,5906.73,9613.82,11888.6,7608.33,6642.88,7235.65,8263.59,9240.76,11605.7,44.869,47.181,49.325,52.469,55.234,57.702,59.62,63.04,65.742,68.042,69.451,70.964,17272000,19792000,22874000,26538000,30614000,35480700,43072800,51889700,60398000,63328000,66907800,69453600
"Asia","Iraq",4129.77,6229.33,8341.74,8931.46,9576.04,14688.2,14517.9,11643.6,3745.64,3076.24,4390.72,4471.06,45.32,48.437,51.457,54.459,56.95,60.413,62.038,65.044,59.461,58.811,57.046,59.545,5441770,6248640,7240260,8519280,10061500,11882900,14173300,16543200,17861900,20775700,24001800,27499600
"Asia","Israel",4086.52,5385.28,7105.63,8393.74,12786.9,13306.6,15367,17122.5,18051.5,20896.6,21905.6,25523.3,65.39,67.84,69.39,70.75,71.63,73.06,74.45,75.6,76.93,78.269,79.696,80.745,1620910,1944400,2310900,2693580,3095890,3495920,3858420,4203150,4936550,5531390,6029530,6426680
"Asia","Japan",3216.96,4317.69,6576.65,9847.79,14778.8,16610.4,19384.1,22375.9,26824.9,28816.6,28604.6,31656.1,63.03,65.5,68.73,71.43,73.42,75.38,77.11,78.67,79.36,80.69,82,82.603,86459000,91563000,95831800,100825000,107188000,113872000,118455000,122091000,124329000,125956000,127066000,127468000
"Asia","Jordan",1546.91,1886.08,2348.01,2741.8,2110.86,2852.35,4161.42,4448.68,3431.59,3645.38,3844.92,4519.46,43.158,45.669,48.126,51.629,56.528,61.134,63.739,65.869,68.015,69.772,71.263,72.535,607914,746559,933559,1255060,1613550,1937650,2347030,2820040,3867410,4526240,5307470,6053190
"Asia","Korea, Dem. Rep.",1088.28,1571.13,1621.69,2143.54,3701.62,4106.3,4106.53,4106.49,3726.06,1690.76,1646.76,1593.07,50.056,54.081,56.656,59.942,63.983,67.159,69.1,70.647,69.978,67.727,66.662,67.297,8865490,9411380,10917500,12617000,14781200,16325300,17647500,19067600,20711400,21585100,22215400,23301700
"Asia","Korea, Rep.",1030.59,1487.59,1536.34,2029.23,3030.88,4657.22,5622.94,8533.09,12104.3,15993.5,19234,23348.1,47.453,52.681,55.292,57.716,62.612,64.766,67.123,69.81,72.244,74.647,77.045,78.623,20947600,22611600,26420300,30131000,33505000,36436000,39326000,41622000,43805400,46173800,47969200,49044800
"Asia","Kuwait",108382,113523,95458.1,80894.9,109348,59265.5,31354,28118.4,34932.9,40300.6,35110.1,47307,55.565,58.033,60.47,64.624,67.712,69.343,71.309,74.174,75.19,76.156,76.904,77.588,160000,212846,358266,575003,841934,1140360,1497490,1891490,1418100,1765340,2111560,2505560
"Asia","Lebanon",4834.8,6089.79,5714.56,6006.98,7486.38,8659.7,7640.52,5377.09,6890.81,8754.96,9313.94,10461.1,55.928,59.489,62.094,63.87,65.421,66.099,66.983,67.926,69.292,70.265,71.028,71.993,1439530,1647410,1886850,2186890,2680020,3115790,3086880,3089350,3219990,3430390,3677780,3921280
"Asia","Malaysia",1831.13,1810.07,2036.88,2277.74,2849.09,3827.92,4920.36,5249.8,7277.91,10132.9,10207,12451.7,48.463,52.102,55.737,59.371,63.01,65.256,68,69.5,70.693,71.938,73.044,74.241,6748380,7739240,8906380,10154900,11441500,12845400,14441900,16331800,18319500,20476100,22662400,24821300
"Asia","Mongolia",786.567,912.663,1056.35,1226.04,1421.74,1647.51,2000.6,2338.01,1785.4,1902.25,2140.74,3095.77,42.244,45.248,48.251,51.253,53.754,55.491,57.489,60.222,61.271,63.625,65.033,66.803,800663,882134,1010280,1149500,1320500,1528000,1756030,2015130,2312800,2494800,2674230,2874130
"Asia","Myanmar",331,350,388,349,357,371,424,385,347,415,611,944,36.319,41.905,45.108,49.379,53.07,56.059,58.056,58.339,59.32,60.328,59.908,62.069,20093000,21731800,23634400,25870300,28466400,31528100,34680400,38028600,40546500,43247900,45598100,47762000
"Asia","Nepal",545.866,597.936,652.397,676.442,674.788,694.112,718.373,775.632,897.74,1010.89,1057.21,1091.36,36.157,37.686,39.393,41.472,43.971,46.748,49.594,52.537,55.727,59.426,61.34,63.785,9182540,9682340,10332100,11261700,12412600,13933200,15796300,17917200,20326200,23001100,25873900,28901800
"Asia","Oman",1828.23,2242.75,2924.64,4720.94,10618,11848.3,12954.8,18115.2,18616.7,19702.1,19774.8,22316.2,37.578,40.08,43.165,46.988,52.143,57.367,62.728,67.734,71.197,72.499,74.193,75.64,507833,561977,628164,714775,829050,1004530,1301050,1593880,1915210,2283640,2713460,3204900
"Asia","Pakistan",684.597,747.084,803.343,942.408,1049.94,1175.92,1443.43,1704.69,1971.83,2049.35,2092.71,2605.95,43.436,45.557,47.67,49.8,51.929,54.043,56.158,58.245,60.838,61.818,63.61,65.483,41346600,46679900,53100700,60641900,69325900,78152700,91462100,105187000,120065000,135565000,153404000,169271000
"Asia","Philippines",1272.88,1547.94,1649.55,1814.13,1989.37,2373.2,2603.27,2189.63,2279.32,2536.53,2650.92,3190.48,47.752,51.334,54.757,56.393,58.065,60.06,62.082,64.151,66.458,68.564,70.303,71.688,22438700,26072200,30325300,35356600,40850100,46851000,53456800,60017800,67185800,75013000,82995100,91077300
"Asia","Saudi Arabia",6459.55,8157.59,11626.4,16903,24837.4,34167.8,33693.2,21198.3,24841.6,20586.7,19014.5,21654.8,39.875,42.868,45.914,49.901,53.886,58.69,63.012,66.295,68.768,70.533,71.626,72.777,4005680,4419650,4943030,5618200,6472760,8128500,11254700,14619700,16945900,21229800,24501500,27601000
"Asia","Singapore",2315.14,2843.1,3674.74,4977.42,8597.76,11210.1,15169.2,18861.5,24769.9,33519.5,36023.1,47143.2,60.396,63.179,65.798,67.946,69.521,70.795,71.76,73.56,75.788,77.158,78.77,79.972,1127000,1445930,1750200,1977600,2152400,2325300,2651870,2794550,3235860,3802310,4197780,4553010
"Asia","Sri Lanka",1083.53,1072.55,1074.47,1135.51,1213.4,1348.78,1648.08,1876.77,2153.74,2664.48,3015.38,3970.1,57.593,61.456,62.192,64.266,65.042,65.949,68.757,69.011,70.379,70.457,70.815,72.396,7982340,9128550,10421900,11737400,13016700,14116800,15410200,16495300,17587100,18698700,19576800,20378200
"Asia","Syria",1643.49,2117.23,2193.04,1881.92,2571.42,3195.48,3761.84,3116.77,3340.54,4014.24,4090.93,4184.55,45.883,48.284,50.305,53.655,57.296,61.195,64.59,66.974,69.249,71.527,73.053,74.143,3661550,4149910,4834620,5680810,6701170,7932500,9410490,11242800,13219100,15081000,17155800,19314700
"Asia","Taiwan",1206.95,1507.86,1822.88,2643.86,4062.52,5596.52,7426.35,11054.6,15215.7,20206.8,23235.4,28718.3,58.5,62.4,65.2,67.5,69.39,70.59,72.16,73.4,74.26,75.25,76.99,78.4,8550360,10164200,11918900,13648700,15226000,16785200,18501400,19757800,20686900,21628600,22454200,23174300
"Asia","Thailand",757.797,793.577,1002.2,1295.46,1524.36,1961.22,2393.22,2982.65,4616.9,5852.63,5913.19,7458.4,50.848,53.63,56.061,58.285,60.405,62.494,64.597,66.084,67.298,67.521,68.564,70.616,21289400,25041900,29263400,34024200,39276200,44148300,48827200,52910300,56667100,60216700,62806700,65068100
"Asia","Vietnam",605.066,676.285,772.049,637.123,699.502,713.537,707.236,820.799,989.023,1385.9,1764.46,2441.58,40.412,42.887,45.363,47.838,50.254,55.764,58.816,62.82,67.662,70.672,73.017,74.249,26246800,28998500,33796100,39463900,44655000,50533500,56142200,62826500,69940700,76049000,80908100,85262400
"Asia","West Bank and Gaza",1515.59,1827.07,2198.96,2649.72,3133.41,3682.83,4336.03,5107.2,6017.65,7110.67,4515.49,3025.35,43.16,45.671,48.127,51.631,56.532,60.765,64.406,67.046,69.718,71.096,72.37,73.422,1030580,1070440,1133130,1142640,1089570,1261090,1425880,1691210,2104780,2826050,3389580,4018330
"Asia","Yemen, Rep.",781.718,804.83,825.623,862.442,1265.05,1829.77,1977.56,1971.74,1879.5,2117.48,2234.82,2280.77,32.548,33.97,35.18,36.984,39.848,44.175,49.113,52.922,55.599,58.02,60.308,62.698,4963830,5498090,6120080,6740780,7407080,8403990,9657620,11219300,13368000,15826500,18701300,22211700
"Europe","Albania",1601.06,1942.28,2312.89,2760.2,3313.42,3533,3630.88,3738.93,2497.44,3193.05,4604.21,5937.03,55.23,59.28,64.82,66.22,67.69,68.93,70.42,72,71.581,72.95,75.651,76.423,1282700,1476500,1728140,1984060,2263550,2509050,2780100,3075320,3326500,3428040,3508510,3600520
"Europe","Austria",6137.08,8842.6,10750.7,12834.6,16661.6,19749.4,21597.1,23687.8,27042,29095.9,32417.6,36126.5,66.8,67.48,69.54,70.14,70.63,72.17,73.18,74.94,76.04,77.51,78.98,79.829,6927770,6965860,7129860,7377000,7544200,7568430,7574610,7578900,7914970,8069880,8148310,8199780
"Europe","Belgium",8343.11,9714.96,10991.2,13149,16672.1,19118,20979.8,22525.6,25575.6,27561.2,30485.9,33692.6,68,69.24,70.25,70.94,71.44,72.8,73.93,75.35,76.46,77.53,78.32,79.441,8730400,8989110,9218400,9556500,9709100,9821800,9856300,9870200,10045600,10199800,10312000,10392200
"Europe","Bosnia and Herzegovina",973.533,1353.99,1709.68,2172.35,2860.17,3528.48,4126.61,4314.11,2546.78,4766.36,6018.98,7446.3,53.82,58.45,61.93,64.79,67.45,69.86,70.69,71.14,72.178,73.244,74.09,74.852,2791000,3076000,3349000,3585000,3819000,4086000,4172690,4338980,4256010,3607000,4165420,4552200
"Europe","Bulgaria",2444.29,3008.67,4254.34,5577,6597.49,7612.24,8224.19,8239.85,6302.62,5970.39,7696.78,10680.8,59.6,66.61,69.51,70.42,70.9,70.81,71.08,71.34,71.19,70.32,72.14,73.005,7274900,7651250,8012950,8310230,8576200,8797020,8892100,8971960,8658510,8066060,7661800,7322860
"Europe","Croatia",3119.24,4338.23,5477.89,6960.3,9164.09,11305.4,13221.8,13822.6,8447.79,9875.6,11628.4,14619.2,61.21,64.77,67.13,68.5,69.61,70.64,70.46,71.52,72.527,73.68,74.876,75.748,3882230,3991240,4076560,4174370,4225310,4318670,4413370,4484310,4494010,4444600,4481020,4493310
"Europe","Czech Republic",6876.14,8256.34,10136.9,11399.4,13108.5,14800.2,15377.2,16310.4,14297,16048.5,17596.2,22833.3,66.87,69.03,69.9,70.38,70.29,70.71,70.96,71.58,72.4,74.01,75.51,76.486,9125180,9513760,9620280,9835110,9862160,10161900,10303700,10311600,10315700,10300700,10256300,10228700
"Europe","Denmark",9692.39,11099.7,13583.3,15937.2,18866.2,20422.9,21688,25116.2,26406.7,29804.3,32166.5,35278.4,70.78,71.81,72.35,72.96,73.47,74.69,74.63,74.8,75.33,76.11,77.18,78.332,4334000,4487830,4646900,4838800,4991600,5088420,5117810,5127020,5171390,5283660,5374690,5468120
"Europe","Finland",6424.52,7545.42,9371.84,10921.6,14358.9,15605.4,18533.2,21141,20647.2,23724,28204.6,33207.1,66.55,67.49,68.75,69.83,70.87,72.52,74.55,74.83,75.7,77.13,78.37,79.313,4090500,4324000,4491440,4605740,4639660,4738900,4826930,4931730,5041040,5134410,5193040,5238460
"Europe","France",7029.81,8662.83,10560.5,12999.9,16107.2,18292.6,20293.9,22066.4,24703.8,25889.8,28926,30470,67.41,68.93,70.51,71.55,72.38,73.83,74.89,76.34,77.46,78.64,79.59,80.657,42459700,44310900,47124000,49569000,51732000,53165000,54433600,55630100,57374200,58623400,59925000,61083900
"Europe","Germany",7144.11,10187.8,12902.5,14745.6,18016.2,20512.9,22031.5,24639.2,26505.3,27788.9,30035.8,32170.4,67.5,69.1,70.3,70.8,71,72.5,73.8,74.847,76.07,77.34,78.67,79.406,69146000,71019100,73739100,76368500,78717100,78160800,78335300,77718300,80597800,82011100,82350700,82401000
"Europe","Greece",3530.69,4916.3,6017.19,8513.1,12724.8,14195.5,15268.4,16120.5,17541.5,18747.7,22514.3,27538.4,65.86,67.86,69.51,71,72.34,73.68,75.24,76.67,77.03,77.869,78.256,79.483,7733250,8096220,8448230,8716440,8888630,9308480,9786480,9974490,10325400,10502400,10603900,10706300
"Europe","Hungary",5263.67,6040.18,7550.36,9326.64,10168.7,11674.8,12546,12986.5,10535.6,11712.8,14843.9,18008.9,64.03,66.41,67.96,69.5,69.76,69.95,69.39,69.58,69.17,71.04,72.59,73.338,9504000,9839000,10063000,10223400,10394100,10637200,10705500,10612700,10348700,10244700,10083300,9956110
"Europe","Iceland",7267.69,9244,10350.2,13319.9,15798.1,19655,23269.6,26923.2,25144.4,28061.1,31163.2,36180.8,72.49,73.47,73.68,73.73,74.46,76.11,76.99,77.23,78.77,78.95,80.5,81.757,147962,165110,182053,198676,209275,221823,233997,244676,259012,271192,288030,301931
"Europe","Ireland",5210.28,5599.08,6631.6,7655.57,9530.77,11151,12618.3,13872.9,17558.8,24521.9,34077,40676,66.91,68.9,70.29,71.08,71.28,72.03,73.1,74.36,75.467,76.122,77.783,78.885,2952160,2878220,2830000,2900100,3024400,3271900,3480000,3539900,3557760,3667230,3879160,4109090
"Europe","Italy",4931.4,6248.66,8243.58,10022.4,12269.3,14256,16537.5,19207.2,22013.6,24675,27968.1,28569.7,65.94,67.81,69.24,71.06,72.19,73.48,74.98,76.42,77.44,78.82,80.24,80.546,47666000,49182000,50843200,52667100,54365600,56059200,56535600,56729700,56840800,57479500,57927000,58147700
"Europe","Montenegro",2647.59,3682.26,4649.59,5907.85,7778.41,9595.93,11222.6,11732.5,7003.34,6465.61,6557.19,9253.9,59.164,61.448,63.728,67.178,70.636,73.066,74.101,74.865,75.435,75.445,73.981,74.543,413834,442829,474528,501035,527678,560073,562548,569473,621621,692651,720230,684736
"Europe","Netherlands",8941.57,11276.2,12790.8,15363.3,18794.7,21209.1,21399.5,23651.3,26790.9,30246.1,33724.8,36797.9,72.13,72.99,73.23,73.82,73.75,75.24,76.05,76.83,77.42,78.03,78.53,79.762,10382000,11026400,11805700,12596800,13329900,13853000,14310400,14665300,15174200,15604500,16122800,16570600
"Europe","Norway",10095.4,11654,13450.4,16361.9,18965.1,23311.3,26298.6,31541,33965.7,41283.2,44684,49357.2,72.67,73.44,73.47,74.08,74.34,75.37,75.97,75.89,77.32,78.32,79.05,80.196,3327730,3491940,3638920,3786020,3933000,4043200,4114790,4186150,4286360,4405670,4535590,4627930
"Europe","Poland",4029.33,4734.25,5338.75,6557.15,8006.51,9508.14,8451.53,9082.35,7738.88,10159.6,12002.2,15389.9,61.31,65.77,67.64,69.61,70.85,70.67,71.32,70.98,70.99,72.75,74.67,75.563,25730600,28235300,30329600,31785400,33039500,34621300,36227400,37740700,38370700,38655000,38626000,38518200
"Europe","Portugal",3068.32,3774.57,4727.95,6361.52,9022.25,10172.5,11753.8,13039.3,16207.3,17641,19970.9,20509.6,59.82,61.51,64.39,66.6,69.26,70.41,72.77,74.06,74.86,75.97,77.29,78.098,8526050,8817650,9019800,9103000,8970450,9662600,9859650,9915290,9927680,10156400,10433900,10642800
"Europe","Romania",3144.61,3943.37,4735,6470.87,8011.41,9356.4,9605.31,9696.27,6598.41,7346.55,7885.36,10808.5,61.05,64.1,66.8,66.8,69.21,69.46,69.66,69.53,69.36,69.72,71.322,72.476,16630000,17829300,18680700,19284800,20662600,21658600,22356700,22686400,22797000,22562500,22404300,22276100
"Europe","Serbia",3581.46,4981.09,6289.63,7991.71,10522.1,12980.7,15181.1,15870.9,9325.07,7914.32,7236.08,9786.53,57.996,61.685,64.531,66.914,68.7,70.3,70.162,71.218,71.659,72.232,73.213,74.002,6860150,7271140,7616060,7971220,8313290,8686370,9032820,9230780,9826400,10336600,10111600,10150300
"Europe","Slovak Republic",5074.66,6093.26,7481.11,8412.9,9674.17,10922.7,11348.5,12037.3,9498.47,12126.2,13638.8,18678.3,64.36,67.45,70.33,70.98,70.35,70.45,70.8,71.08,71.38,72.71,73.8,74.663,3558140,3844280,4237380,4442240,4593430,4827800,5048040,5199320,5302890,5383010,5410050,5447500
"Europe","Slovenia",4215.04,5862.28,7402.3,9405.49,12383.5,15277,17866.7,18678.5,14214.7,17161.1,20660,25768.3,65.57,67.85,69.15,69.18,69.82,70.97,71.063,72.25,73.64,75.13,76.66,77.926,1489520,1533070,1582960,1646910,1694510,1746920,1861250,1945870,1999210,2011610,2011500,2009240
"Europe","Spain",3834.03,4564.8,5693.84,7993.51,10638.8,13236.9,13926.2,15765,18603.1,20445.3,24835.5,28821.1,64.94,66.66,69.69,71.44,73.06,74.39,76.3,76.9,77.57,78.77,79.78,80.941,28549900,29841600,31158100,32850300,34513200,36439000,37983300,38880700,39549400,39855400,40152500,40448200
"Europe","Sweden",8527.84,9911.88,12329.4,15258.3,17832,18855.7,20667.4,23586.9,23880,25266.6,29341.6,33859.7,71.86,72.49,73.37,74.16,74.72,75.44,76.42,77.19,78.16,79.39,80.04,80.884,7124670,7363800,7561590,7867930,8122290,8251650,8325260,8421400,8718870,8897620,8954180,9031090
"Europe","Switzerland",14734.2,17909.5,20431.1,22966.1,27195.1,26982.3,28397.7,30281.7,31871.5,32135.3,34481,37506.4,69.62,70.56,71.32,72.77,73.78,75.39,76.21,77.41,78.03,79.37,80.62,81.701,4815000,5126000,5666000,6063000,6401400,6316420,6468130,6649940,6995450,7193760,7361760,7554660
"Europe","Turkey",1969.1,2218.75,2322.87,2826.36,3450.7,4269.12,4241.36,5089.04,5678.35,6601.43,6508.09,8458.28,43.585,48.079,52.098,54.336,57.005,59.507,61.036,63.108,66.146,68.835,70.845,71.777,22235700,25670900,29788700,33411300,37493000,42404000,47328800,52881300,58179100,63047600,67308900,71158600
"Europe","United Kingdom",9979.51,11283.2,12477.2,14142.9,15895.1,17428.7,18232.4,21664.8,22705.1,26074.5,29479,33203.3,69.18,70.42,70.76,71.36,72.01,72.76,74.04,75.007,76.42,77.218,78.471,79.425,50430000,51430000,53292000,54959000,56079000,56179000,56339700,56981600,57866300,58808300,59912400,60776200
"Oceania","Australia",10039.6,10949.6,12217.2,14526.1,16788.6,18334.2,19477,21888.9,23424.8,26997.9,30687.8,34435.4,69.12,70.33,70.93,71.1,71.93,73.49,74.74,76.32,77.56,78.83,80.37,81.235,8691210,9712570,10795000,11872300,13177000,14074100,15184200,16257200,17482000,18565200,19546800,20434200
"Oceania","New Zealand",10556.6,12247.4,13175.7,14463.9,16046,16233.7,17632.4,19007.2,18363.3,21050.4,23189.8,25185,69.39,70.26,71.24,71.52,71.89,72.22,73.84,74.32,76.33,77.55,79.11,80.204,1994790,2229410,2488550,2728150,2929100,3164900,3210650,3317170,3437670,3676190,3908040,4115770
